hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
03/11/2019 09:00:00 AM,Brooklyn Bridge,1151,666,485,clear-day,44,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/18/2019 01:00:00 PM,Brooklyn Bridge,1557,707,850,partly-cloudy-day,87,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/25/2019 10:00:00 PM,Brooklyn Bridge,79,65,14,partly-cloudy-night,67,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/13/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,35,0.0017,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/28/2019 02:00:00 PM,Brooklyn Bridge,1805,754,1051,cloudy,52,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/01/2019 08:00:00 AM,Brooklyn Bridge,442,188,254,clear-day,45,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/20/2019 02:00:00 PM,Brooklyn Bridge,2826,1425,1401,cloudy,60,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/11/2019 01:00:00 PM,Brooklyn Bridge,1554,637,917,partly-cloudy-day,83,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/11/2019 09:00:00 AM,Brooklyn Bridge,610,386,224,partly-cloudy-day,65,0.0037,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/24/2019 12:00:00 PM,Brooklyn Bridge,1773,894,879,partly-cloudy-day,83,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/08/2019 02:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,25,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/26/2019 01:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,33,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/04/2019 01:00:00 PM,Brooklyn Bridge,1532,726,806,partly-cloudy-day,37,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/25/2019 01:00:00 AM,Brooklyn Bridge,4,2,2,partly-cloudy-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/13/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,61,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/03/2019 05:00:00 PM,Brooklyn Bridge,1120,449,671,partly-cloudy-day,44,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/04/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,37,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/10/2019 12:00:00 AM,Brooklyn Bridge,8,4,4,clear-night,76,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/20/2019 01:00:00 PM,Brooklyn Bridge,1080,463,617,partly-cloudy-day,46,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/05/2019 07:00:00 AM,Brooklyn Bridge,186,83,103,cloudy,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/15/2019 02:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,62,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/20/2019 07:00:00 AM,Brooklyn Bridge,199,70,129,clear-night,34,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/14/2019 10:00:00 PM,Brooklyn Bridge,23,14,9,partly-cloudy-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/25/2019 05:00:00 PM,Brooklyn Bridge,741,409,332,clear-day,40,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/13/2019 02:00:00 PM,Brooklyn Bridge,1394,609,785,clear-day,45,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/29/2019 06:00:00 AM,Brooklyn Bridge,58,36,22,partly-cloudy-night,47,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/12/2019 08:00:00 PM,Brooklyn Bridge,41,38,3,partly-cloudy-night,63,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/16/2019 09:00:00 PM,Brooklyn Bridge,27,16,11,partly-cloudy-night,74,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/14/2019 08:00:00 AM,Brooklyn Bridge,482,197,285,clear-day,61,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/28/2019 07:00:00 PM,Brooklyn Bridge,21,19,2,clear-night,33,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/06/2019 10:00:00 AM,Brooklyn Bridge,1275,722,553,clear-day,51,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/12/2019 01:00:00 PM,Brooklyn Bridge,2023,868,1155,partly-cloudy-day,83,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/24/2019 03:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,70,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/27/2019 05:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,30,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/08/2019 01:00:00 AM,Brooklyn Bridge,3,0,3,clear-night,29,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/11/2019 07:00:00 PM,Brooklyn Bridge,1473,823,650,clear-day,76,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/02/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/24/2019 09:00:00 PM,Brooklyn Bridge,20,14,6,partly-cloudy-night,68,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/20/2019 05:00:00 PM,Brooklyn Bridge,1773,936,837,partly-cloudy-day,86,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/18/2019 07:00:00 PM,Brooklyn Bridge,38,27,11,partly-cloudy-night,51,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/19/2019 08:00:00 PM,Brooklyn Bridge,126,75,51,partly-cloudy-night,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/20/2019 02:00:00 PM,Brooklyn Bridge,1757,771,986,cloudy,75,0.008,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/14/2019 11:00:00 PM,Brooklyn Bridge,56,48,8,cloudy,72,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/12/2019 04:00:00 PM,Brooklyn Bridge,160,81,79,fog,29,0.0246,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/04/2019 02:00:00 PM,Brooklyn Bridge,1329,619,710,partly-cloudy-day,84,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/03/2019 05:00:00 AM,Brooklyn Bridge,1,0,1,partly-cloudy-night,37,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/31/2019 12:00:00 AM,Brooklyn Bridge,13,11,2,cloudy,61,0,40.7081639691088,-73.9995087014816,Halloween,"(40.7081639691088, -73.9995087014816)"
12/16/2019 09:00:00 PM,Brooklyn Bridge,12,0,12,rain,34,0.0048,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/16/2019 05:00:00 AM,Brooklyn Bridge,4,1,3,clear-night,26,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/01/2019 12:00:00 AM,Brooklyn Bridge,2,0,2,clear-night,72,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/25/2019 08:00:00 AM,Brooklyn Bridge,535,219,316,clear-day,53,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/27/2019 01:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,26,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/21/2019 11:00:00 AM,Brooklyn Bridge,1779,810,969,partly-cloudy-day,90,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/06/2019 06:00:00 PM,Brooklyn Bridge,77,62,15,partly-cloudy-night,40,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/05/2019 09:00:00 PM,Brooklyn Bridge,65,50,15,partly-cloudy-night,53,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/22/2019 07:00:00 PM,Brooklyn Bridge,592,217,375,partly-cloudy-night,78,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/01/2019 09:00:00 AM,Brooklyn Bridge,568,262,306,cloudy,54,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/17/2019 11:00:00 PM,Brooklyn Bridge,1,0,1,clear-night,37,0,40.7081639691088,-73.9995087014816,St. Patrick's Day,"(40.7081639691088, -73.9995087014816)"
02/19/2019 02:00:00 PM,Brooklyn Bridge,1286,1286,0,clear-day,34,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/18/2019 04:00:00 PM,Brooklyn Bridge,1439,622,817,partly-cloudy-day,40,0.0002,40.7081639691088,-73.9995087014816,Presidents' Day (regional holiday),"(40.7081639691088, -73.9995087014816)"
04/06/2019 03:00:00 PM,Brooklyn Bridge,3514,1854,1660,clear-day,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/07/2019 02:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,51,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/25/2019 05:00:00 PM,Brooklyn Bridge,71,62,9,clear-night,48,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/10/2019 11:00:00 AM,Brooklyn Bridge,1642,900,742,partly-cloudy-day,83,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/08/2019 05:00:00 AM,Brooklyn Bridge,29,20,9,cloudy,58,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/20/2019 09:00:00 PM,Brooklyn Bridge,139,66,73,rain,73,0.047,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/05/2019 10:00:00 AM,Brooklyn Bridge,1683,981,702,cloudy,77,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/20/2019 09:00:00 AM,Brooklyn Bridge,686,353,333,partly-cloudy-day,74,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/01/2019 04:00:00 PM,Brooklyn Bridge,668,305,363,partly-cloudy-day,20,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/16/2019 09:00:00 PM,Brooklyn Bridge,66,29,37,partly-cloudy-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/02/2019 01:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,69,0,40.7081639691088,-73.9995087014816,Labor Day,"(40.7081639691088, -73.9995087014816)"
07/06/2019 12:00:00 AM,Brooklyn Bridge,8,3,5,cloudy,77,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/08/2019 01:00:00 PM,Brooklyn Bridge,1641,749,892,partly-cloudy-day,68,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/05/2019 05:00:00 AM,Brooklyn Bridge,0,0,0,rain,42,0.0308,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/08/2019 08:00:00 AM,Brooklyn Bridge,311,108,203,cloudy,54,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/06/2019 08:00:00 AM,Brooklyn Bridge,665,273,392,partly-cloudy-day,56,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/29/2019 09:00:00 PM,Brooklyn Bridge,5,0,5,cloudy,54,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/21/2019 12:00:00 AM,Brooklyn Bridge,11,4,7,partly-cloudy-night,86,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/22/2019 01:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,77,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/30/2019 07:00:00 PM,Brooklyn Bridge,1189,439,750,clear-day,58,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/02/2019 02:00:00 PM,Brooklyn Bridge,1694,847,847,rain,38,0.0347,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/24/2019 05:00:00 AM,Brooklyn Bridge,0,0,0,rain,43,0.1058,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/24/2019 01:00:00 PM,Brooklyn Bridge,2152,975,1177,partly-cloudy-day,80,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/26/2019 03:00:00 PM,Brooklyn Bridge,1597,753,844,clear-day,47,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/03/2019 12:00:00 AM,Brooklyn Bridge,5,3,2,clear-night,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/06/2019 05:00:00 PM,Brooklyn Bridge,70,65,5,cloudy,47,0.0005,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/29/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,32,0,40.7081639691088,-73.9995087014816,Black Friday,"(40.7081639691088, -73.9995087014816)"
09/30/2019 02:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/12/2019 08:00:00 AM,Brooklyn Bridge,132,48,84,rain,51,0.0028,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/03/2019 04:00:00 PM,Brooklyn Bridge,1895,889,1006,partly-cloudy-day,81,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/10/2019 01:00:00 AM,Brooklyn Bridge,36,25,11,partly-cloudy-night,38,0,40.7081639691088,-73.9995087014816,Daylight Saving Time starts,"(40.7081639691088, -73.9995087014816)"
09/17/2019 03:00:00 PM,Brooklyn Bridge,1916,908,1008,clear-day,77,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/26/2019 06:00:00 PM,Brooklyn Bridge,703,371,332,cloudy,55,0.0042,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/12/2019 07:00:00 AM,Brooklyn Bridge,180,92,88,clear-night,26,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/17/2019 10:00:00 AM,Brooklyn Bridge,1000,524,476,partly-cloudy-day,38,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/28/2019 08:00:00 AM,Brooklyn Bridge,284,106,178,clear-day,36,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/08/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,68,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/27/2019 02:00:00 PM,Brooklyn Bridge,1299,583,716,partly-cloudy-day,88,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/11/2019 01:00:00 AM,Brooklyn Bridge,2,1,1,clear-night,68,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/27/2019 10:00:00 PM,Brooklyn Bridge,30,29,1,clear-night,48,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/04/2019 08:00:00 AM,Brooklyn Bridge,260,102,158,cloudy,36,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/18/2019 04:00:00 PM,Brooklyn Bridge,2352,1031,1321,partly-cloudy-day,56,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/02/2019 01:00:00 PM,Brooklyn Bridge,2387,1005,1382,partly-cloudy-day,80,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/07/2019 04:00:00 AM,Brooklyn Bridge,0,0,0,partly-cloudy-night,45,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/19/2019 06:00:00 AM,Brooklyn Bridge,139,48,91,cloudy,67,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/15/2019 03:00:00 PM,Brooklyn Bridge,1833,840,993,partly-cloudy-day,69,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/22/2019 03:00:00 PM,Brooklyn Bridge,1954,890,1064,clear-day,75,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/25/2019 03:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,54,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/05/2019 07:00:00 AM,Brooklyn Bridge,137,55,82,partly-cloudy-day,40,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/30/2019 04:00:00 PM,Brooklyn Bridge,2056,887,1169,cloudy,67,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/13/2019 06:00:00 PM,Brooklyn Bridge,1323,733,590,cloudy,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/23/2019 05:00:00 PM,Brooklyn Bridge,2337,1043,1294,clear-day,84,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/20/2019 11:00:00 PM,Brooklyn Bridge,8,4,4,partly-cloudy-night,14,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/24/2019 03:00:00 AM,Brooklyn Bridge,0,0,0,cloudy,67,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/08/2019 06:00:00 AM,Brooklyn Bridge,150,70,80,clear-day,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/06/2019 11:00:00 PM,Brooklyn Bridge,0,0,0,partly-cloudy-night,21,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/07/2019 04:00:00 PM,Brooklyn Bridge,2239,1073,1166,partly-cloudy-day,76,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/16/2019 01:00:00 AM,Brooklyn Bridge,1,0,1,partly-cloudy-night,47,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/15/2019 11:00:00 AM,Brooklyn Bridge,522,292,230,clear-day,30,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/02/2019 06:00:00 PM,Brooklyn Bridge,1044,598,446,partly-cloudy-day,75,0.0042,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
07/17/2019 01:00:00 AM,Brooklyn Bridge,3,1,2,partly-cloudy-night,80,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/17/2019 02:00:00 PM,Brooklyn Bridge,1877,885,992,cloudy,73,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
03/14/2019 01:00:00 AM,Brooklyn Bridge,2,0,2,partly-cloudy-night,42,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/05/2019 10:00:00 PM,Brooklyn Bridge,11,6,5,partly-cloudy-night,67,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
10/05/2019 03:00:00 AM,Brooklyn Bridge,0,0,0,clear-night,46,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/24/2019 02:00:00 AM,Brooklyn Bridge,1,0,1,clear-night,69,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/12/2019 11:00:00 PM,Brooklyn Bridge,7,0,7,cloudy,44,0.0023,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/27/2019 01:00:00 AM,Brooklyn Bridge,1,0,1,clear-night,46,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/05/2019 01:00:00 AM,Brooklyn Bridge,2,1,1,partly-cloudy-night,37,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/21/2019 05:00:00 PM,Brooklyn Bridge,30,23,7,partly-cloudy-night,33,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/11/2019 12:00:00 PM,Brooklyn Bridge,1600,702,898,cloudy,46,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
04/30/2019 08:00:00 PM,Brooklyn Bridge,261,157,104,partly-cloudy-night,57,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/21/2019 01:00:00 PM,Brooklyn Bridge,1958,856,1102,rain,47,0.0346,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
11/16/2019 04:00:00 PM,Brooklyn Bridge,2358,1006,1352,clear-day,39,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/05/2019 06:00:00 AM,Brooklyn Bridge,69,42,27,partly-cloudy-night,37,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
08/10/2019 04:00:00 PM,Brooklyn Bridge,3116,1370,1746,partly-cloudy-day,81,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
09/19/2019 07:00:00 PM,Brooklyn Bridge,608,264,344,clear-night,65,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/24/2019 07:00:00 AM,Brooklyn Bridge,263,120,143,clear-day,68,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
02/07/2019 09:00:00 PM,Brooklyn Bridge,78,76,2,cloudy,42,0.0067,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/02/2019 05:00:00 PM,Brooklyn Bridge,1926,897,1029,partly-cloudy-day,64,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/28/2019 06:00:00 PM,Brooklyn Bridge,1511,848,663,partly-cloudy-day,86,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
12/14/2019 09:00:00 AM,Brooklyn Bridge,396,237,159,partly-cloudy-day,49,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
05/25/2019 09:00:00 PM,Brooklyn Bridge,32,11,21,partly-cloudy-night,62,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
06/04/2019 02:00:00 AM,Brooklyn Bridge,1,0,1,clear-night,57,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
01/14/2019 09:00:00 PM,Brooklyn Bridge,5,4,1,clear-night,27,0,40.7081639691088,-73.9995087014816,,"(40.7081639691088, -73.9995087014816)"
